ratio_routed,tt_non_routed,tt_routed,tt,tt_local,tt_non_local,gas,gas_local,gas_non_local
2.500000000000000000e-01,4.120819193688193138e+01,4.070953639843202865e+01,4.108352805226945748e+01,3.135771969272113324e+01,9.725808359548324233e+00,6.838181504715529400e+02,2.669992565220808842e+02,4.168188939494720557e+02
2.600000000000000089e-01,4.118701450016503429e+01,4.073556906714433978e+01,4.106963868757965486e+01,3.135429591427354978e+01,9.715342773306105073e+00,6.835489048682699149e+02,2.672573097150561807e+02,4.162915951532137342e+02
2.700000000000000178e-01,4.118351813510647474e+01,4.072684700634042088e+01,4.106021693033963516e+01,3.134620570331067313e+01,9.714011227028962026e+00,6.834746785705755201e+02,2.672146393097906980e+02,4.162600392607848221e+02
2.800000000000000266e-01,4.114355946254097773e+01,4.076193819373708038e+01,4.103670550727588306e+01,3.135230742666483295e+01,9.684398080611050119e+00,6.828567297837765864e+02,2.678564894639577574e+02,4.150002403198188290e+02
2.899999999999999800e-01,4.172304621553450943e+01,3.935635411809098372e+01,4.103670550727588306e+01,3.135230742666483295e+01,9.684398080611050119e+00,6.828567297837765864e+02,2.678564894639577574e+02,4.150002403198188290e+02
2.999999999999999889e-01,4.109938803070774327e+01,4.080279547707910837e+01,4.101041026461914640e+01,3.135299560316330414e+01,9.657414661455842264e+00,6.822778506898574733e+02,2.684473958801890490e+02,4.138304548096684243e+02
3.099999999999999978e-01,4.107414644853618313e+01,4.081529889553183921e+01,4.099390370710483467e+01,3.135650705420773932e+01,9.637396652897095350e+00,6.818995580565207320e+02,2.688181060243359752e+02,4.130814520321847567e+02
3.200000000000000067e-01,4.107239945308248252e+01,4.082186943800105183e+01,4.099222984825642158e+01,3.135410499552082086e+01,9.638124852735600712e+00,6.818346769837177135e+02,2.688072037097591647e+02,4.130274732739585488e+02
3.300000000000000155e-01,4.105011300119343076e+01,4.083593268261261500e+01,4.097943349606177321e+01,3.135647769505434468e+01,9.622955801007428533e+00,6.814848090438108557e+02,2.690743487075764619e+02,4.124104603362343937e+02
3.400000000000000244e-01,4.102889929224220822e+01,4.085484644086384520e+01,4.096972132277355882e+01,3.135656314210760698e+01,9.613158180665951846e+00,6.812221266831276125e+02,2.692724575583218893e+02,4.119496691248057232e+02
