O,D,Ton
1596,459845,3528
1596,459197,4120
1596,459176,28240
1596,459801,61400
1596,459791,164200
1596,459316,22160
1596,459314,8000
1596,460117,4200
1596,459133,5720
1596,459128,840
1596,459127,117720
1596,459047,4000
1596,459040,26200
1596,459749,3480
1596,459747,14224
1596,459340,11760
1596,459341,5376
1596,459004,3560
1596,460022,149280
1596,459691,10920
1596,459992,6440
1596,459580,225480
1596,459512,6560
1596,459497,280
1596,459497,2000
1596,459508,11920
1596,459576,12800
1596,459484,3920
1596,459490,42160
1596,459497,12880
1596,459498,90680
1596,459983,4320
1596,459686,295520
1596,458930,7320
1596,458891,12000
1596,458890,2400
2385,459801,6480
2385,459791,7480
2385,459128,26400
2385,458970,4080
2385,459688,12600
2385,459580,331600
2385,459502,16240
2396,459316,16640
2396,460118,7560
2396,459313,4320
2396,459127,9920
2396,459017,2440
2396,459740,5004
2396,459356,24596
2396,459270,21052
2396,459333,25048
2396,459677,3560
2396,459691,26360
2396,459480,5480
2396,459576,4640
2396,459556,3640
2396,459686,11680
2396,459961,4440
2396,458948,21400
2396,458930,4120
2396,458914,12840
2599,459888,7560
2599,459813,8160
2599,459176,6348
2599,459810,4320
2599,459801,57720
2599,459316,20720
2599,459314,3600
2599,459158,3920
2599,459133,4040
2599,459127,43692
2599,459270,4440
2599,459341,20120
2599,459347,4000
2599,459333,3760
2599,459332,11600
2599,460011,129972
2599,459694,32520
2599,459992,37368
2599,459412,2520
2599,459419,18672
2599,459409,3920
2599,459416,3720
2599,459580,128104
2599,459569,58136
2599,459502,7640
2599,459661,6080
2599,459604,4080
2599,459526,3000
2599,459671,3600
2599,459961,3720
2599,458930,2480
2599,458891,3000
2399,459203,960
2399,459813,246628
2399,459832,72800
2399,459197,3960
2399,459181,20760
2399,459152,6396
2399,459787,4000
2399,459810,54988
2399,459801,533122
2399,459316,29524
2399,460118,22360
2399,459314,682402
2399,459314,511818
2399,460117,26480
2399,460116,118613
2399,459313,5544
2399,459149,319472
2399,459133,519617
2399,459127,7360
2399,459020,3720
2399,459049,22760
2399,458990,13080
2399,459054,11240
2399,459749,3492
2399,459735,487278
2399,459741,529872
2399,459723,475310
2399,459747,14300
2399,459270,81000
2399,459742,7760
2399,459345,3640
2399,459322,156339
2399,459333,74300
2399,459332,347221
2399,459281,4440
2399,459677,118200
2399,460011,17820
2399,460015,3920
2399,458970,4160
2399,459691,22920
2399,459992,106960
2399,459957,136749
2399,459693,255793
2399,459677,108600
2399,459419,49880
2399,459231,100218
2399,459414,31280
2399,459580,347956
2399,459569,40200
2399,459587,8640
2399,459502,11276
2399,459512,279072
2399,459503,17000
2399,459480,9120
2399,459475,10920
2399,459661,19000
2399,459576,41080
2399,459596,4092
2399,459604,7480
2399,459544,40160
2399,459488,12460
2399,459484,4040
2399,459525,56808
2399,458964,14360
2399,459961,75516
2399,458948,91996
2399,458933,91050
2399,458930,45657
2399,458938,11168
2399,458891,206120
2399,458914,53316
2347,459214,18792
2347,459801,10284
2347,459790,4440
2347,459303,52920
2347,459064,66440
2347,459057,3600
2347,459745,3920
2347,459688,7840
2347,459703,18000
2347,459419,11560
2347,459409,11600
2347,459580,6960
2347,460084,11680
2347,459503,4080
2347,459511,26160
2347,459474,96780
2347,459533,8000
2347,459550,75840
2347,459488,4000
2347,459484,11720
2347,459526,3600
2347,458930,50880
2347,458934,7720
2348,459845,50436
2348,459832,11200
2348,459197,7640
2348,459288,7720
2348,459133,17680
2348,459127,7040
2348,459057,7680
2348,459050,22836
2348,459749,11640
2348,459270,3880
2348,459430,31920
2348,459436,36240
2348,459409,30760
2348,459511,800
2348,458917,3680
1597,459176,2600
1597,459791,27800
1597,459136,32160
1597,459127,4280
1597,460022,3360
1597,459580,56760
1597,459661,17800
1598,459560,7080
2350,459801,3920
2350,459304,13200
2350,458988,5000
2350,459133,2800
2350,459127,6960
2350,459722,7840
2350,459270,3920
2350,459337,19676
2350,459953,85953
2350,460015,3760
2350,459414,6920
2350,459431,8316
2350,459437,3528
2350,459580,10400
2350,459503,64680
2350,459500,2960
2350,459668,2880
2350,459576,3200
2350,459550,5800
2350,459484,30800
2350,459543,3240
2350,459395,800
2350,458930,11000
2350,458891,37640
2350,458890,8480
2375,459791,1720
2375,459580,3280
2398,459791,8000
2398,459127,280
2398,459580,15400
2398,459661,8360
2373,459791,760
2373,459661,10920
1599,459791,29040
1599,458990,2680
1599,459580,77320
1599,459589,95040
1599,459661,4040
1889,460022,7800
1889,459691,3520
1889,459589,31520
1899,459801,4480
1899,459127,2200
1899,459755,4360
1899,459294,3560
1899,459957,14240
1899,459688,3480
1899,459677,3040
1899,459580,3640
2351,459813,3360
2351,459787,4200
2351,459801,171772
2351,458987,11960
2351,459316,117952
2351,459314,23200
2351,459313,5800
2351,460117,4080
2351,460116,9276
2351,459313,17692
2351,459179,3040
2351,459133,23292
2351,459127,66876
2351,459749,3720
2351,459735,11840
2351,459741,62736
2351,459743,19296
2351,459329,38184
2351,459747,48680
2351,459270,52116
2351,459341,22720
2351,459349,4000
2351,459333,72320
2351,459332,72632
2351,459281,8000
2351,460033,54033
2351,460011,83176
2351,459992,49488
2351,459693,3600
2351,459440,30360
2351,459414,24828
2351,459409,43044
2351,459416,15052
2351,459418,12792
2351,459580,94553
2351,459569,10692
2351,459502,25860
2351,459512,82760
2351,459576,16080
2351,459998,3240
2351,459961,33768
2351,458927,10016
2351,458891,35868
2351,458914,8316
2598,459801,6920
2598,459791,7320
2598,459127,9880
2598,459270,3720
2598,459580,3360
2598,459569,3720
2598,459661,5520
2598,459576,3200
2598,459599,3600
2047,459948,800
2047,459791,17840
2047,459127,2040
2047,459047,3920
2047,459270,3960
2047,459580,2880
2047,459661,38280
2047,459484,3920
2048,459791,10120
2048,459133,12800
2048,459127,1000
2048,459743,3600
2048,460022,31200
2048,459580,1160
2048,459661,72440
2597,459801,3200
2597,459791,25840
2597,459133,29424
2597,459127,2200
2597,460022,12000
2597,459631,7640
2597,459409,3400
2597,459580,7160
2597,459521,4392
2049,459270,10880
2049,459418,3800
2049,459512,3800
2637,459845,11000
2637,459801,39204
2637,459133,6520
2637,459047,3560
2637,459735,7120
2637,459336,13992
2637,459332,38760
2637,459328,3516
2637,459439,4040
2637,459414,7056
2637,459431,12936
2637,459437,5880
2637,459409,5720
2637,459411,13840
2637,459596,7120
2637,459525,3520
2050,459813,4160
2050,459853,12280
2050,459781,4000
2050,459801,3920
2050,459791,7800
2050,459316,17240
2050,460118,25720
2050,459133,3880
2050,459127,17884
2050,459755,18560
2050,459747,3840
2050,459270,3760
2050,459232,39320
2050,459332,12080
2050,459004,62880
2050,460036,4788
2050,459992,15496
2050,459408,12100
2050,459419,5196
2050,459580,30204
2050,459502,3520
2050,459480,5280
2050,459576,3920
2050,459604,3480
2050,459488,11160
2050,459560,32240
2050,459525,6000
2050,459526,3400
2050,460099,11680
2050,459387,6160
2050,459655,17360
2050,458934,3920
2050,458890,7920
2051,459214,8000
2051,459082,2520
2051,459853,3800
2051,459832,21520
2051,459181,7560
2051,459112,4000
2051,459152,3720
2051,459791,3760
2051,459791,9880
2051,459316,3120
2051,460118,4200
2051,459158,9880
2051,459133,7160
2051,459127,10080
2051,459020,1600
2051,459065,7600
2051,459062,2400
2051,458989,8560
2051,459009,720
2051,459743,2840
2051,459333,7452
2051,459332,3840
2051,460015,4480
2051,458970,7640
2051,459691,3920
2051,459992,7280
2051,459957,3600
2051,459688,3760
2051,459693,29000
2051,459677,7680
2051,459631,4360
2051,459421,3800
2051,459580,63800
2051,459569,3600
2051,459503,2080
2051,459589,226400
2051,459480,21680
2051,459619,8000
2051,459475,33200
2051,459471,8240
2051,459460,60840
2051,459474,4000
2051,459661,3560
2051,459607,3960
2051,459550,3840
2051,459484,3840
2051,459491,4200
2051,459521,3280
2051,459525,4360
2051,459526,3880
2051,459983,50920
2051,459979,12880
2051,458964,3960
2051,459987,8440
2051,459655,3520
2051,459633,4080
2051,459540,8160
2051,458930,9920
2051,458934,7600
2635,459878,920
2635,459766,3960
2635,459857,4480
2635,459851,3760
2635,459845,11600
2635,459813,26160
2635,459853,5760
2635,459197,3880
2635,459778,4320
2635,459801,104880
2635,459791,3840
2635,459304,11720
